AccX,AccY,AccZ
-0.3826043701,-6.238127747,-5.885461121
-1.099313965,-8.189170532,-4.078718262
-1.153950348,-8.571325836,-2.121538239
-2.064207458,-7.428003387,-3.494183807
-1.269659729,-8.618627472,-1.599423981
-0.904119873,-10.21191422,-4.544848938
-0.8442443848,-6.921756134,-4.422104187
-1.504521332,-7.25331665,-6.53376297
-1.759890289,-13.43950241,-3.134182434
-4.716092834,-15.14206192,-4.408183136
-5.204826508,-1.985770569,-2.017654266
-5.599855042,-6.511459351,-2.219584351
-3.030747528,-6.855294342,-1.137933655
-1.343007202,-7.643704834,-1.584604797
-2.068548431,-9.814939728,-5.420078888
-2.164199524,-8.047415314,-2.800675964
-4.299658813,-9.526938629,-0.1775308228
-6.595584412,-14.30769699,-3.322939911
-3.966900787,-9.888736267,-1.035995636
-0.8729846191,-8.944799194,0.05688171387
0.2188449097,-16.4150148,-0.5325924683
-0.5182223511,-5.860762482,-2.730172577
-0.2025288391,-8.552015991,-1.527274017
-2.260449371,-6.312523041,-1.316512299
-6.484216003,-10.17404297,-3.40496933
-0.9782157898,-9.140592041,-2.602338409
1.39000946,-7.824977875,-5.402116241
-2.633024597,-9.217382355,-4.299359436
-1.326990509,-14.89717117,-6.140979767
-0.9060658264,-13.28921494,-2.674338684
-3.43999649,-5.307213593,-3.153641968
-2.501298523,-7.85012558,-1.97858551
-2.368374939,-7.442074127,-2.987786865
-2.476300507,-6.567293243,-3.933520203
-2.357148285,-8.420289917,-0.7671546936
-2.101929016,-8.250842285,-0.3411405945
-6.988666992,-11.03654938,0.07409591675
-6.641838226,-11.04523132,2.751727753
-0.2167492676,-24.81674332,1.21337677
1.679507446,-4.275109863,-2.088307343
1.80315033,-9.179810486,1.633852386
-0.4117936707,-7.889793091,2.260748749
-2.169887695,-11.19791382,1.92005722
-2.686313782,-10.57640625,-0.6480024719
1.059047699,-9.311985626,0.2802172852
-0.320483551,-8.932973785,2.866838379
0.2089654541,-9.865235138,1.976789246
-1.577120361,-10.16221756,-1.140029297
-0.01556762695,-10.73013657,-0.6132746887
0.373024292,-10.26445496,3.092718658
0.1490899658,-15.81371521,2.514171753
-2.66311203,-13.52093307,-3.175496521
-2.906805267,-13.55940308,0.4150868225
-4.485572205,-11.53591095,2.6303302
-3.285068665,-10.82024918,-5.123096466
-1.47084137,-7.651488647,2.494263153
-1.294508057,-0.9104067993,-0.9610015869
-3.155288544,-1.883233795,-3.956871643
-1.32339798,-4.414470062,-4.415966949
-6.211034088,-9.421857147,-6.777605896
-4.97520401,-5.667514343,-2.053429871
-2.240840149,-11.42618912,-3.349584503
-1.614093475,-10.90646988,-2.057621155
-1.302890625,-10.83207458,-1.96107193
-2.854114838,-9.681417389,-0.6854246521
-2.613265686,-9.914782104,-0.9666897583
-0.7529342651,-8.967701569,-2.90411087
0.02275268555,-7.856861572,-2.156565399
-0.9590556335,-8.854836273,-1.231938171
-1.931583252,-8.978179779,-0.01766326904
-1.639390869,-10.66816544,1.179547119
-1.934277649,-11.2446167,2.45010498
-0.4535568237,-15.38440796,3.149750061
-0.2127076721,-13.32603836,1.566342773
-4.30594574,-9.454040222,-10.94299393
-5.054838409,-12.24887833,-2.881507874
-4.862488403,-11.96162567,6.006409607
-0.7147636414,-12.63073425,-3.704646149
-3.104843445,-3.999083862,-1.04018692
-2.982697449,-1.489702148,-3.142565002
-1.389560394,-1.739832001,-3.457360382
-2.101330261,-2.282453613,-4.829856262
-5.891897736,-5.76735672,-9.927505646
-6.358028412,-14.15606232,-8.091573486
-2.953957214,-7.449857941,-4.273014221
-0.9663903809,-7.964936829,-3.386407928
-1.34330658,-9.872120819,-2.81519577
-5.339396667,-10.87862778,-1.761836243
-2.996169434,-9.598040771,-1.864522705
-0.4816983032,-10.51653076,-2.88539978
-1.806443481,-9.028175812,-2.546953583
-2.116598511,-8.382268982,-2.158361664
-0.6969506836,-7.423812103,-0.7206015015
-2.407593384,-10.63343765,0.9800120544
-2.988684998,-12.68087997,1.816472626
-1.467697906,-13.83228561,3.08673111
-0.1118174744,-8.21521637,0.3965254211
-2.334245911,-11.78544205,-7.551945648
-9.38757843,-11.62123352,-2.609074402
-4.544100494,-10.33570679,2.315684509
0.3019221497,-10.10518616,-3.372935944
-4.787494354,-5.893544312,-2.790796509
-2.898572388,-4.277654572,-3.573818207
-1.106798401,-1.420995026,-3.740421753
-2.447709961,-1.394949188,-5.378016357
-2.375410309,-2.216889954,-4.081712036
-7.94368103,-15.0534462,-12.06805435
-2.182311859,-5.60120224,-2.482587433
-1.104403381,-3.18732193,-5.699697418
-4.633314972,-14.00173325,-1.632505188
-1.306183777,-7.421417084,-2.963686981
-3.254681854,-10.76606186,-1.610950012
-1.991907806,-9.087452545,-3.090473328
-1.56559433,-10.67669769,-2.021695862
-1.168470154,-8.526868286,-1.573976898
-1.424138489,-9.446555786,-1.452729034
-1.46260849,-8.145311737,-1.293759613
-0.8340655518,-9.235045624,0.3270698547
-1.620979156,-10.68403244,0.9738748169
-0.9487271118,-12.06955124,1.471889191
0.3083587646,-13.77899643,1.910626831
-1.299298096,-11.31736542,1.876647491
-4.20056488,-9.811047821,-6.837182007
-5.417234802,-10.09635452,-5.240302734
-9.282796326,-13.36331085,1.753453674
-0.785716095,-13.66134109,-4.395908661
-2.407593384,-6.722221069,-1.924697571
-3.59103241,-2.896476746,-3.894601135
-3.194506989,-3.036136322,-3.597469025
-2.359543304,-2.195634155,-4.399950256
-2.110311584,-2.777923279,-5.515131226
-6.660249939,-6.192622375,-11.4529834
-6.325396271,-10.676548,-4.003873901
0.003442840576,-4.414919128,-5.47246994
-6.664441223,-13.03010376,-4.457730103
-0.7466473389,-6.773115234,-3.779191132
-3.694467316,-8.349487152,-2.636617126
-1.388811951,-11.78095139,-3.444038086
-0.2878514099,-9.559271393,-2.533481598
-0.2249821472,-9.174421692,-1.921703796
-0.3725752258,-9.915380859,-1.522483978
-0.7923023987,-9.854906616,-1.138382721
-1.505419464,-7.767946472,-0.08696914673
-2.65143631,-9.114546204,0.453407135
-4.447700958,-11.41930344,0.4477189636
-2.686313782,-8.335865479,-1.64747406
-0.7662565613,-10.18482056,1.011596375
0.7111711121,-13.8430632,1.681303711
1.848206635,-11.5007341,2.067201233
-1.329086151,-12.39018448,2.408341827
0.02245330811,-10.92458221,-14.29647034
-3.761078796,-8.947792969,-2.424208832
-9.397457886,-6.834038544,3.5208284
0.3561094666,-9.183103638,-3.229534149
