AccX,AccY,AccZ
-2.603984985,-11.33996841,1.861828308
-0.9151968384,-8.094567261,0.7628137207
-0.3439846802,-7.684420166,0.2157014465
-0.6816824341,-9.313183136,0.1761836243
-2.177372131,-11.12501541,-1.511556702
-2.08396637,-12.05637863,-3.203039246
0.7463479614,-13.77435608,0.4848417664
-0.04760101318,-13.88572449,2.410138092
-0.8384065247,-17.3267688,2.581681366
-2.613415375,-11.97509766,4.589007111
-4.810546417,-3.023562469,-0.426612854
-2.884351959,-3.448079681,0.7464976501
-1.627864838,-1.002165985,1.847158813
-3.302731934,-28.60895737,-18.35108871
-1.686991882,-3.222798157,-4.504432983
-5.46543457,-11.64832718,0.03233276367
-4.737498322,-8.551716614,1.220711517
-2.284249878,-8.61997467,1.396296387
-1.785187683,-11.85145477,1.162183228
-0.3233276367,-5.977819061,0.2318678284
-0.5008584595,-9.561067657,-0.4637356567
-1.452729034,-9.031618652,-0.02230361938
-1.988165588,-12.06356369,-6.023324432
0.536484375,-14.51052521,-0.1073268127
-1.941013641,-10.10398865,-9.245074768
-0.5397775269,-15.26914764,2.445614319
-2.464774475,-13.79067215,2.343975677
-3.078947296,-6.265520782,2.858006744
-3.836072845,-3.116369476,-0.6944059753
-3.379971313,-3.948788452,-0.8803193665
-1.484013977,-5.09570343,-0.4278103638
-2.844983826,-19.5509935,-10.40306671
-4.833748169,-5.629343719,-2.003433838
-7.799381104,-9.915530548,2.56252121
-3.232378235,-9.219178619,2.486179962
-2.050436096,-11.70311325,2.064955902
-0.4881349182,-7.439978485,0.3558100891
0.06391708374,-8.597970428,-1.182690582
-1.320254517,-8.651109924,0.4412823486
-1.84057251,-12.07449097,-1.162632294
0.02754272461,-12.29288681,-0.8497828674
0.1549278259,-13.11138474,-5.879024506
0.1249900818,-14.24333084,3.796555023
-1.157093811,-15.4249736,1.417552185
-2.944227448,-8.9500383,3.273991699
-5.225034485,-2.855611725,0.1074765015
-3.299887848,-3.70569397,0.07065307617
-1.072819061,-1.459165649,1.097966766
-4.516258392,-25.80528763,-14.03197037
-3.003803558,-3.904779968,-2.670446777
-7.61137207,-12.05877365,2.508034515
-2.906805267,-8.280929718,2.164498901
-2.550246735,-12.06895248,1.894161072
-0.7893086243,-7.999664612,0.6508465576
0.6448590088,-6.775510254,-5.441035309
-1.038390656,-9.264085236,-0.1240919495
-1.809137878,-10.47551605,1.170416107
-0.1824705505,-12.6858197,-4.28603714
-1.250200195,-13.4715358,-1.438358917
-0.416434021,-13.1794931,2.931204529
-0.6345304871,-16.93338684,1.67441803
-2.168690186,-11.74308014,3.167563019
-3.764671326,-3.463048553,-3.204536133
-3.19899765,-4.037404175,0.935255127
-3.548969879,-2.411036224,0.4876858521
-2.14833252,-19.77058685,-23.69931702
-2.584525452,-8.242010651,-6.080655212
-4.60427536,-11.95114746,-6.122717743
-5.833668823,-7.542814636,2.448308716
-3.416794739,-11.373349,2.356699219
-1.781744843,-10.66232758,0.986149292
0.3351530457,-6.117927704,-3.002606049
-0.3356021118,-8.604706421,0.2856060791
-1.045725403,-9.10331955,1.406175842
-2.516117706,-12.52415588,-0.9583071899
-0.2486329651,-12.42880417,-1.407523041
-0.4194277954,-11.26617188,-5.369633789
0.2450404358,-14.82217712,2.658022614
-1.676363983,-15.45386353,1.237177277
-2.97431488,-8.50306778,4.197271729
-3.589236145,-3.750001831,-1.397643585
-2.614912262,-3.632047119,1.358874207
-1.757345581,-1.667232971,0.5510041809
-4.187392273,-26.1985199,-17.10448105
-4.101470947,-6.233487396,-5.33445694
-4.381239166,-11.02472397,1.140029297
-3.762725372,-7.871680756,2.031575317
-2.887645111,-11.66030228,1.79491745
-0.8665480042,-9.694889374,0.274379425
0.5909710693,-6.077511749,-2.911295929
-0.1384620667,-8.301287384,-0.7786807251
-1.74806488,-10.04306534,1.252146149
-2.082918549,-12.63881744,-5.139861603
-0.6036946106,-14.00517609,-0.2664459229
0.4046086121,-11.43127853,-7.732320557
-0.4495152283,-16.24901001,2.062111816
-2.320474548,-14.61845078,2.235002289
-3.264112244,-6.895111542,3.101400604
-3.530857544,-3.044967957,-0.1901046753
-3.233426056,-2.715054016,0.7529342651
-1.774110718,-3.955225067,-4.613106995
-2.515219574,-15.15119293,-9.579629059
-2.92401947,-4.136797485,-3.803740082
-9.225465546,-13.59547806,3.264261932
-3.321143646,-9.464368744,2.126627655
-2.228565674,-11.58231445,1.318607941
-0.3941304016,-7.289241943,0.0462538147
-0.003592529297,-8.770112457,-0.007933502197
-1.441053314,-8.519683228,0.08741821289
-2.436782684,-11.88648193,-0.9550140381
0.1784289551,-12.78790741,-0.6230044556
-0.5953120422,-14.49645447,-2.874023438
-0.1820214844,-12.9804071,3.806135101
-1.442999268,-15.24370056,1.160536652
-2.952310638,-9.755812683,2.611170044
-5.018613739,-3.732488251,-0.5242098999
-2.08037384,-4.452790375,0.5210664368
-1.976938934,-1.989662476,0.8500822449
-5.176834717,-22.80253189,-21.61400345
-3.100203094,-5.903423767,-5.712121582
-4.548291779,-10.28541138,-1.741328888
-5.009931793,-8.841064911,1.594933319
-2.545905762,-11.0548114,2.347268829
-1.122366028,-10.3407962,0.8807684326
0.7447013855,-5.970035248,-3.007845154
-0.6125262451,-8.437055054,-1.090781708
-1.45557312,-8.96171402,1.073268127
-0.1969903564,-13.37498657,-4.581372986
0.5637277222,-14.93519211,-0.1362167358
-1.604812775,-12.15711914,-2.984793091
-0.5815406799,-15.73138641,2.346819763
-2.835403748,-13.14940567,2.22781723
-3.915258179,-5.285209351,2.2945784
-3.545676727,-3.230731659,-0.7023394775
-2.60458374,-1.401385803,0.2046244812
-3.431464233,-13.00780014,-18.52802078
-1.822160797,-13.34265381,-8.572972412
-5.144951019,-8.714727631,-3.552562408
-6.612349548,-7.341632996,3.122207336
-3.87768631,-10.03483246,2.646197205
-2.12842392,-12.52161118,1.659000092
0.6351292419,-5.645210724,-2.913241882
0.2362088013,-8.501720581,0.3393443298
-1.156195679,-8.997789001,1.253343658
-2.26763443,-11.77855637,0.3492237854
0.2194436646,-13.0799501,-1.557511139
-0.949176178,-12.4681723,-4.433330841
-0.03412902832,-14.68640945,3.338657227
-1.533710632,-16.18030289,1.544637909
-3.149750061,-8.483009491,3.070714417
-4.256698151,-2.990331573,-1.61005188
-3.073109436,-2.148033142,1.480870514
-1.15365097,-1.22864502,1.798210602
-4.243675232,-29.21998672,-13.77690079
-3.225043488,-2.460283813,-2.268682251
-8.858428802,-13.37423813,4.07886795
-3.300935669,-10.65708847,2.854114838
-1.72471344,-11.63395706,1.200952606
-0.08622070313,-6.639293518,-1.666783905
-0.1899549866,-8.183482361,-0.5221142578
-1.191522217,-8.518036652,1.378782806
-1.976938934,-11.196866,1.063837738
0.1826202393,-13.26391754,-3.19555481
-1.177601166,-12.88520508,0.2766247559
-0.5574407959,-12.5663681,1.947450256
-1.627715149,-17.27452744,1.730251923
-2.352807312,-9.612410889,3.959116974
-3.317850494,-5.212310944,-2.224524078
-2.427352295,-3.962110748,0.5544470215
-3.085683289,-0.6848258972,1.299447784
-3.641477509,-25.32837936,-24.7824646
-3.019221497,-5.364694061,-5.929020538
-5.04076767,-15.42347672,-1.185085602
-2.731819153,-5.381758575,1.88622757
-3.628903656,-13.53724915,2.894530792
-1.30109436,-9.075327759,0.6518943787
0.222437439,-8.554261322,-4.499642944
-1.114582214,-8.066725159,-1.228944397
-1.375789032,-8.344098358,1.520388336
-1.775158539,-13.47737366,-4.881947937
-1.174308014,-13.10150528,-1.287322998
-1.907633057,-12.20876175,-4.713847504
-0.9142987061,-16.94925385,2.037263489
-2.313139801,-13.39264984,2.599194946
-3.055296478,-6.230792999,3.10304718
-3.578907623,-3.304528198,-2.294728088
-3.050057373,-2.062261505,1.52113678
-1.005608826,-5.781726837,-4.181105347
-3.031945038,-11.91118057,-7.110064545
-6.612948303,-5.392536163,-3.005001068
-4.085454254,-7.363038483,3.634142761
-3.181783447,-12.35860016,3.234024811
-1.849254456,-12.39153168,1.134191437
0.1083746338,-5.363047485,-4.595294037
-0.8252339172,-8.48076416,-0.9216334534
-1.527573395,-8.982670441,1.502575378
-2.829565887,-12.15711914,-3.406466217
-0.1330732727,-14.10337189,-0.04296066284
-0.540226593,-11.77526321,-4.292922821
-0.6557862854,-15.27259048,3.014431458
-2.62913269,-15.77494583,2.217039642
-3.192710724,-7.779322815,3.223995667
-3.285218353,-2.32616272,-1.600172424
-2.792742462,-3.11592041,1.15140564
-1.847009125,-1.842668152,0.9316625977
-4.412524109,-21.94990494,-11.8245108
-2.707270203,-3.545077972,-2.495011597
-7.569908295,-13.91760818,3.884422302
-3.632496185,-8.138875122,2.019899597
-2.666704559,-11.70401138,1.804946594
-0.7937992859,-8.254584503,0.5108876038
0.8638536072,-8.813222809,-2.534828796
-0.7644602966,-8.11342804,-0.2257305908
-1.419498138,-12.00428696,1.051413574
0.6780899048,-12.16041229,-1.246607666
-1.033001862,-13.14970505,-0.2423460388
-0.2378553772,-12.7362648,2.536625061
-0.5246589661,-17.65907776,1.747316437
-1.769470367,-11.22575592,2.991229706
-2.74379425,-5.853278046,-3.558549957
-2.718646545,-3.412902832,2.337089996
-3.064277802,-0.6764433289,1.00515976
-3.09256897,-15.84724548,-23.21312805
-1.225351868,-6.910379791,-5.715265045
-3.55705307,-17.28605347,-7.823630676
-4.292922821,-5.706882477,2.482587433
-3.662882996,-10.90422455,2.407892761
-2.027683411,-11.19177658,0.9264234924
-0.2764750671,-5.031936035,-1.433419189
-1.172811127,-8.679401093,-0.5071453857
-1.643282776,-8.850345612,1.763782196
-0.7577243042,-13.7183725,-5.892795868
-0.6355783081,-13.31062042,0.06137237549
-3.307222595,-11.34850067,-9.457183685
-0.7249424744,-16.36576721,2.525398407
-2.409838715,-14.24318115,2.91114624
-2.334694977,-6.448141022,3.280578003
-2.461631012,-3.603606262,-1.383872223
-3.042722626,-2.717449036,1.533111877
-1.817969513,-1.553020477,1.403331757
-4.61714859,-23.12541046,-10.62191162
-0.5168751526,-1.328637085,-2.341281281
-5.048850861,-15.69905365,0.2254312134
-3.485352173,-6.579567719,0.9927355957
-3.342998199,-12.25351868,1.619332581
-1.294358368,-8.866661682,0.7264393616
0.2278262329,-7.693102112,-2.891537018
-1.422192535,-8.747359772,-0.3806584167
-2.544708252,-11.29027176,-0.005837860107
-0.2665956116,-12.5265509,-0.2505789185
0.4686753845,-14.81139954,0.9180409241
-1.250050507,-13.00630325,3.121458893
-1.933678894,-16.58431274,1.714833984
-3.33820816,-11.06499023,4.078418884
-3.9362146,-4.328997803,-1.415606232
-1.809137878,-3.63548996,0.7628137207
-2.762655029,-0.7339237976,0.5153782654
-5.090015259,-27.62131119,-23.52882156
-2.059267731,-6.349945221,-7.468868408
-4.99631012,-15.12963776,-2.998414764
-3.320095825,-5.689368896,1.575623474
-3.070564728,-10.66502197,3.110681305
-1.926793213,-11.50432663,1.212029572
