AccX,AccY,AccZ
8.977281647,0.2903961182,-3.076701965
8.898246002,0.09520202637,-3.573668518
8.858578491,0.1326242065,-4.04024826
8.855435028,0.6448590088,-4.468956757
8.500223694,0.2630030823,-4.936135254
8.744665375,0.3209326172,-4.4697052
9.462422791,0.05388793945,-4.307742004
8.997489624,0.2688409424,-4.130211182
9.188193054,0.2868035889,-4.323159943
8.804241486,0.3818559265,-4.921765137
8.560697937,0.1916015625,-4.680915985
8.862171021,0.26210495,-4.547693024
9.02248764,0.6550378418,-4.882846069
8.038883057,0.16615448,-4.947212219
9.110354919,0.1444496155,-4.221371613
8.252937927,0.4050576782,-4.203109589
9.528136139,0.1977388,-4.296365662
9.290729828,0.3947291565,-4.226910095
8.72296051,0.07020401001,-4.92026825
8.726253662,0.1155596924,-4.944368134
9.197024689,0.1323248291,-4.672982483
8.677155762,0.4881349182,-4.63121933
8.463100891,0.3165916443,-4.976700897
8.365503845,0.1469943237,-5.278323669
8.331374817,0.04924758911,-5.173242188
8.549471283,-0.04670288086,-4.61131073
8.819060669,-0.07170089722,-4.511019287
8.881630554,0.04146377563,-3.94669281
9.322763214,0.1917512512,-3.736529846
9.048832855,0.002844085693,-3.539240112
9.204509125,0.06631210327,-3.629203033
9.348659363,-0.08038284302,-3.419788513
8.938961334,-0.03367996216,-3.978875885
9.136849823,-0.3779640198,-4.569996643
9.22142395,-0.4890330505,-4.223616943
9.000034332,-0.6174659729,-3.696712646
8.919202423,-0.7402107239,-3.916755066
8.584199066,-0.4695735168,-3.853436737
8.966204681,-0.7568261719,-3.652853851
9.019194489,-0.4385879517,-3.64477066
8.816665649,-0.4236190796,-3.752546539
9.188342743,-0.3674858093,-3.467239838
9.335935822,-0.2757266235,-3.344195709
9.428144073,-0.4020639038,-3.251837769
9.538314972,-0.3585044861,-3.214415588
9.531279602,-0.419128418,-2.908451843
9.344917145,-0.4460723877,-2.65607666
9.448202362,-0.5242098999,-2.642754364
9.217382355,-0.4558021545,-2.619103546
9.333989868,-0.3623963928,-2.751727753
9.467661896,-0.2559677124,-2.721041565
9.566007385,-0.2701881409,-3.032693481
9.3747052,-0.3972738647,-3.290756836
9.221124573,-0.1471440125,-3.741619263
8.920549622,0.3827540588,-3.860023041
9.383836212,0.4146377563,-2.573598175
9.672436066,0.6071374512,-2.421065369
9.466165009,0.4962181091,-2.334245911
9.225166168,0.5827381897,-2.495610352
9.348060608,0.5932164001,-1.635349274
9.725276184,0.2709365845,-0.9822573853
9.51391571,0.9617500305,-1.025218048
9.484876099,0.7228468323,-1.383423157
9.442364502,0.7493417358,-1.806892548
10.02555176,0.2906954956,-2.151475983
9.205706635,0.9961784363,-2.388582916
9.657317505,0.7014413452,-1.867067413
9.756561127,0.5885760498,-2.013912048
9.552984467,0.6033952332,-1.971849518
9.48233139,0.8066725159,-1.941762085
9.411079559,0.9386979675,-1.665736084
9.497749329,0.7815248108,-1.271156616
9.751771088,1.02267334,-1.492246857
9.685608673,1.280886383,-1.767374725
9.718839569,1.776056671,-2.117047577
9.619895325,1.830842743,-2.065704346
9.411678314,1.853595428,-2.29098587
9.521998901,2.091301117,-2.569406891
9.258397064,2.081122284,-2.751428375
9.097781067,1.952090607,-2.599045258
9.257947998,1.745669861,-3.267255707
9.190737762,1.548529816,-3.288511505
8.875493317,1.655557251,-3.369193726
9.296717377,1.388662262,-3.02236496
9.314530334,1.189276886,-3.065175934
8.90902359,1.391955414,-3.338507538
9.140592041,1.357077942,-3.518882446
9.227411499,1.348545685,-3.247945862
9.07398056,1.450483704,-3.414100342
9.027726746,1.50003067,-3.116818542
9.062005463,1.568288727,-2.929408264
9.58411972,1.378782806,-2.896327057
9.499246216,1.388811951,-3.130440216
9.432934113,1.34674942,-3.491339722
9.293274536,1.292412415,-3.821852417
9.512568512,1.23448288,-3.790866852
9.015152893,1.171014862,-3.817062378
8.765023041,1.267414398,-3.82155304
8.900042267,1.315314789,-3.411555634
8.855135651,1.358874207,-3.157683563
9.125323792,1.532962189,-3.056643677
9.110354919,1.360520782,-2.948269043
9.090895386,1.371897125,-3.166664886
8.925639038,1.563348999,-3.63309494
8.931027832,1.443448334,-3.629801788
9.24253006,1.503922577,-3.601211243
9.446406097,1.379830627,-3.752995605
9.368268585,1.599573669,-3.693868561
9.386081543,1.632804565,-3.812871094
8.709338837,1.776805115,-3.77350296
8.890911255,1.748513947,-3.734434204
8.771309967,1.479074249,-3.440445557
8.857830048,1.318907318,-3.235222321
8.819060669,1.527274017,-3.303031311
8.990603943,1.505269775,-3.833378448
9.01200943,1.614542542,-4.344116364
9.05407196,1.711091766,-4.389771423
9.079519043,1.681603088,-3.899540863
9.060059509,1.395248566,-3.117267609
9.571994934,1.363215179,-3.6097435
8.876391449,1.466949463,-3.829935608
8.801547089,1.433419189,-3.883973236
8.650960236,1.372795258,-3.801794128
9.02952301,1.561403046,-3.40960968
9.300010529,1.162931671,-3.041225739
9.439221039,1.203197937,-3.298390961
9.059161377,1.082099762,-3.588487701
9.050778809,1.295555878,-3.228636017
9.517807617,1.643432465,-3.043022003
9.458680573,1.776356049,-3.130739594
